"","status","family","pval","qval","genes","num_cells_expressed"
"eGFP","OK","negbinomial.size",2.81467073977792e-36,3.69777368438324e-34,"eGFP",400
"Cdc45","OK","negbinomial.size",6.74757967185788e-13,1.69861227188566e-11,"Cdc45",92
"Scmh1","OK","negbinomial.size",0.000495809407978267,0.00351497934425065,"Scmh1",222
"Ngfr","OK","negbinomial.size",0.00312746088373457,0.0172770638044942,"Ngfr",43
"Gna12","OK","negbinomial.size",0.00369057889292018,0.0199168083001752,"Gna12",239
"Igsf5","OK","negbinomial.size",4.35550634882757e-07,5.48220020672788e-06,"Igsf5",20
"Ccnd2","OK","negbinomial.size",6.75830721170525e-06,7.06764266617136e-05,"Ccnd2",352
"Drp2","OK","negbinomial.size",4.83556252819463e-25,3.2097955055574e-23,"Drp2",129
"Tspan32","OK","negbinomial.size",9.12051876885651e-15,2.7650957382889e-13,"Tspan32",11
"Gmpr","OK","negbinomial.size",2.02153442781256e-14,5.95691406625515e-13,"Gmpr",117
"Mid2","OK","negbinomial.size",0.000959443854427899,0.00623095051083659,"Mid2",11
"Trim25","OK","negbinomial.size",1.22061260418633e-05,0.000121502495374885,"Trim25",77
"Cdh4","OK","negbinomial.size",1.86374816622327e-10,3.59963122088941e-09,"Cdh4",27
"Comt","OK","negbinomial.size",0.00249842437913917,0.0142967914109361,"Comt",247
"Rnf17","OK","negbinomial.size",0.00362922960079476,0.0196530028876014,"Rnf17",13
"Tbrg4","OK","negbinomial.size",0.0103453956053378,0.0464327862542779,"Tbrg4",175
"Egfl6","OK","negbinomial.size",2.08415795649082e-15,6.6377273099147e-14,"Egfl6",61
"Cttnbp2","OK","negbinomial.size",0.00174612585223226,0.010506745824596,"Cttnbp2",98
"Galnt1","OK","negbinomial.size",0.00678072701026876,0.0332627495346206,"Galnt1",290
"Hnrnpd","OK","negbinomial.size",0.000198158921003517,0.00156394262308909,"Hnrnpd",356
"Gm2a","OK","negbinomial.size",1.52627736610634e-23,9.1663857815872e-22,"Gm2a",372
"Hk2","OK","negbinomial.size",0.000806714718739692,0.00536901637611873,"Hk2",254
"Kat2b","OK","negbinomial.size",0.0110150018428511,0.0488814930478671,"Kat2b",65
"Rpa1","OK","negbinomial.size",9.23528789267376e-05,0.000786996289881091,"Rpa1",220
"Serpinf1","OK","negbinomial.size",0.000714132668364232,0.00484749257987605,"Serpinf1",237
"Ddx3x","OK","negbinomial.size",0.0102032538623441,0.045876448382133,"Ddx3x",394
"Car4","OK","negbinomial.size",7.8605270741361e-20,3.5532963246955e-18,"Car4",20
"Bcl11a","OK","negbinomial.size",1.68725845030824e-12,4.10013556363922e-11,"Bcl11a",104
"Mmp11","OK","negbinomial.size",0.00461023204439458,0.0239671255333489,"Mmp11",190
"Hoxa4","OK","negbinomial.size",0.000945382997029372,0.0061491337589141,"Hoxa4",20
"Slc7a7","OK","negbinomial.size",0.000193531388311279,0.00153029333503564,"Slc7a7",24
"Ilf2","OK","negbinomial.size",3.67696167802761e-05,0.00033701919101224,"Ilf2",388
"Epn2","OK","negbinomial.size",9.73120075475323e-12,2.21134962016122e-10,"Epn2",144
"Luzp1","OK","negbinomial.size",0.000505715258351745,0.00357916994294736,"Luzp1",220
"Col6a1","OK","negbinomial.size",0.00025014948697462,0.00191669825621136,"Col6a1",101
"Lgals9","OK","negbinomial.size",4.91297070616308e-11,1.01744477087239e-09,"Lgals9",40
"Ocrl","OK","negbinomial.size",0.00603186237948956,0.0302120128396038,"Ocrl",108
"Uhrf1","OK","negbinomial.size",2.15763560258016e-12,5.17340308360095e-11,"Uhrf1",248
"Lsr","OK","negbinomial.size",0.00164089042173626,0.00994928510158539,"Lsr",187
"Ckb","OK","negbinomial.size",0.00247280829782087,0.014175935569144,"Ckb",57
"Efnb2","OK","negbinomial.size",0.00569026659720418,0.0287557589716804,"Efnb2",163
"Rnd2","OK","negbinomial.size",5.27470967482605e-07,6.5477006317821e-06,"Rnd2",101
"Fndc5","OK","negbinomial.size",5.00044814031758e-29,4.44124309476657e-27,"Fndc5",145
"Acp5","OK","negbinomial.size",3.83444094753098e-09,6.45660470363962e-08,"Acp5",39
"Ube2c","OK","negbinomial.size",7.46728026453537e-20,3.39990392405488e-18,"Ube2c",121
"Cct3","OK","negbinomial.size",0.000405520137044362,0.00294270423958774,"Cct3",364
"Kpnb1","OK","negbinomial.size",3.12320966152461e-05,0.000288782406533346,"Kpnb1",332
"Cyp51","OK","negbinomial.size",0.00114644049338639,0.00729879227793498,"Cyp51",180
"Tubb6","OK","negbinomial.size",5.49410861229607e-13,1.40551111193262e-11,"Tubb6",111
"Meox1","OK","negbinomial.size",3.82066650662526e-15,1.19866283536213e-13,"Meox1",17
"Col1a1","OK","negbinomial.size",1.66001117787585e-10,3.23087360731021e-09,"Col1a1",224
"Foxm1","OK","negbinomial.size",7.25906279342861e-08,1.01723666611913e-06,"Foxm1",93
"Nrip2","OK","negbinomial.size",0.000194615834708653,0.00153790407728417,"Nrip2",43
"Tubb5","OK","negbinomial.size",4.7384988755639e-10,8.801465069015e-09,"Tubb5",423
"Stk38l","OK","negbinomial.size",0.00280068858021652,0.0157759197738681,"Stk38l",259
"Hoxc8","OK","negbinomial.size",0.00763078170908997,0.0364983933385029,"Hoxc8",194
"Gstt1","OK","negbinomial.size",1.15153706750522e-07,1.58204635025881e-06,"Gstt1",69
"Gstt3","OK","negbinomial.size",0.000466332334386664,0.00332845693338121,"Gstt3",54
"Ubl3","OK","negbinomial.size",4.05309022647979e-09,6.78852243510799e-08,"Ubl3",315
"Cldn15","OK","negbinomial.size",0.00638158084335383,0.0316494288621229,"Cldn15",16
"Tcirg1","OK","negbinomial.size",0.00488379138003997,0.0252022818678658,"Tcirg1",76
"Tspan33","OK","negbinomial.size",0.000752765156127258,0.00506339954617439,"Tspan33",25
"Rin2","OK","negbinomial.size",2.67898610445579e-11,5.78550903243089e-10,"Rin2",177
"Pwp1","OK","negbinomial.size",2.34997409694188e-05,0.000222439827907394,"Pwp1",181
"Capns1","OK","negbinomial.size",1.54768895458551e-05,0.000150845850813234,"Capns1",319
"Folr1","OK","negbinomial.size",3.41430293853919e-19,1.46466628098151e-17,"Folr1",107
"Sept7","OK","negbinomial.size",0.00178878707313181,0.0106819046242133,"Sept7",411
"Aif1l","OK","negbinomial.size",2.42711954522999e-44,4.31138474710432e-42,"Aif1l",126
"Ltbp1","OK","negbinomial.size",0.000152424598507298,0.00123546210563884,"Ltbp1",288
"Ugp2","OK","negbinomial.size",0.00184373617462612,0.0109840343100542,"Ugp2",245
"Kcnh6","OK","negbinomial.size",4.32440286824732e-14,1.20929864688105e-12,"Kcnh6",16
"Grik3","OK","negbinomial.size",2.08170964803243e-07,2.77798726981519e-06,"Grik3",49
"Pnck","OK","negbinomial.size",1.198285356252e-15,3.87507049052571e-14,"Pnck",52
"Tmem25","OK","negbinomial.size",0.00234553002225578,0.013557206526439,"Tmem25",27
"Spag5","OK","negbinomial.size",1.20982718018769e-16,4.26210625601315e-15,"Spag5",86
"Ccne1","OK","negbinomial.size",1.13931753756513e-16,4.03625639993578e-15,"Ccne1",68
"Mybpc3","OK","negbinomial.size",1.22795524920355e-05,0.000122137000023306,"Mybpc3",11
"Acp2","OK","negbinomial.size",0.000522825578919841,0.00368167292090286,"Acp2",273
"Celf2","OK","negbinomial.size",0.00157254536144589,0.00959968155786815,"Celf2",151
"Stat6","OK","negbinomial.size",3.55577595928944e-07,4.55283719782319e-06,"Stat6",90
"Paxip1","OK","negbinomial.size",0.00328463604350873,0.0180426087895175,"Paxip1",188
"Mov10","OK","negbinomial.size",3.1296086853549e-05,0.000289162086005099,"Mov10",255
"Peg3","OK","negbinomial.size",2.69549829217696e-11,5.80488773273124e-10,"Peg3",413
"Zim1","OK","negbinomial.size",2.20128936016028e-09,3.77723284494442e-08,"Zim1",161
"Angptl4","OK","negbinomial.size",2.34560545446116e-08,3.5301641994826e-07,"Angptl4",148
"Dbf4","OK","negbinomial.size",5.40679095332691e-07,6.70505875155939e-06,"Dbf4",117
"Irf9","OK","negbinomial.size",0.00738859173753533,0.0355531930537183,"Irf9",97
"Slc25a42","OK","negbinomial.size",7.13935343714743e-08,1.0015742552759e-06,"Slc25a42",48
"Prpf6","OK","negbinomial.size",4.1283702039955e-05,0.000374044576241317,"Prpf6",248
"Abhd3","OK","negbinomial.size",8.67595954603035e-10,1.55648935696351e-08,"Abhd3",97
"Snrpd1","OK","negbinomial.size",0.00991996930292594,0.044906910570173,"Snrpd1",397
"Axl","OK","negbinomial.size",5.78177169004588e-05,0.000510284846430081,"Axl",282
"Akap8l","OK","negbinomial.size",0.00263889172488095,0.0149627842051018,"Akap8l",243
"Prkd1","OK","negbinomial.size",0.00656009944190515,0.0323819859731146,"Prkd1",140
"Cse1l","OK","negbinomial.size",1.63664028073058e-05,0.000158901518249223,"Cse1l",285
"Baz1b","OK","negbinomial.size",0.00032790419258788,0.00242695286204128,"Baz1b",310
"Chaf1a","OK","negbinomial.size",5.08801333234833e-05,0.000452538957317187,"Chaf1a",123
"Adprh","OK","negbinomial.size",0.0002495358124564,0.00191432218169107,"Adprh",245
"Mcm2","OK","negbinomial.size",1.03819018312202e-05,0.000104415108369497,"Mcm2",243
"Cd97","OK","negbinomial.size",2.49110905481839e-16,8.51432720850121e-15,"Cd97",92
"Arrdc2","OK","negbinomial.size",2.56697921062646e-11,5.55312895444612e-10,"Arrdc2",12
"Map2k7","OK","negbinomial.size",0.00948013728409321,0.0433044155838405,"Map2k7",241
"Apoe","OK","negbinomial.size",0.000108027146792153,0.000902277069763337,"Apoe",224
"Prkar2b","OK","negbinomial.size",0.000220109260057926,0.00171677055525699,"Prkar2b",139
"Cdkn1b","OK","negbinomial.size",6.36204623920428e-10,1.158031222671e-08,"Cdkn1b",345
"Klf4","OK","negbinomial.size",0.00841771154647955,0.0394667163917765,"Klf4",211
"Edar","OK","negbinomial.size",1.25816945959291e-06,1.47198823973894e-05,"Edar",13
"Pld3","OK","negbinomial.size",3.82672681011225e-21,1.91518565591808e-19,"Pld3",288
