"","x"
"E10.5_XY_20140428_C01_140729_1","C2"
"E10.5_XY_20140428_C02_140729_1","C2"
"E10.5_XY_20140428_C03_140729_1","C2"
"E10.5_XY_20140428_C04_140729_2","C2"
"E10.5_XY_20140428_C05_140729_2","C2"
"E10.5_XY_20140428_C07_140729_3","C2"
"E10.5_XY_20140428_C09_140729_3","C2"
"E10.5_XY_20140428_C10_140729_4","C2"
"E10.5_XY_20140428_C11_140729_4","C2"
"E10.5_XY_20140428_C12_140729_4","C2"
"E10.5_XY_20140428_C13_140729_5","C2"
"E10.5_XY_20140428_C15_140729_5","C2"
"E10.5_XY_20140428_C17_140729_6","C2"
"E10.5_XY_20140428_C19_140729_7","C2"
"E10.5_XY_20140428_C20_140729_7","C2"
"E10.5_XY_20140428_C23_140729_8","C2"
"E10.5_XY_20140428_C24_140729_8","C2"
"E10.5_XY_20140428_C27_140729_1","C2"
"E10.5_XY_20140428_C31_140729_2","C2"
"E10.5_XY_20140428_C32_140729_3","C2"
"E10.5_XY_20140428_C33_140729_3","C2"
"E10.5_XY_20140428_C34_140729_4","C2"
"E10.5_XY_20140428_C35_140729_4","C2"
"E10.5_XY_20140428_C38_140729_5","C2"
"E10.5_XY_20140428_C39_140729_5","C2"
"E10.5_XY_20140428_C42_140729_6","C2"
"E10.5_XY_20140428_C43_140729_7","C2"
"E10.5_XY_20140428_C44_140729_7","C2"
"E10.5_XY_20140428_C45_140729_7","C2"
"E10.5_XY_20140428_C49_140729_1","C2"
"E10.5_XY_20140428_C51_140729_1","C2"
"E10.5_XY_20140428_C53_140729_2","C2"
"E10.5_XY_20140428_C55_140729_3","C2"
"E10.5_XY_20140428_C56_140729_3","C2"
"E10.5_XY_20140428_C57_140729_3","C2"
"E10.5_XY_20140428_C61_140729_5","C2"
"E10.5_XY_20140428_C62_140729_5","C2"
"E10.5_XY_20140428_C63_140729_6","C2"
"E10.5_XY_20140428_C65_140729_6","C2"
"E10.5_XY_20140428_C66_140729_6","C2"
"E10.5_XY_20140428_C68_140729_7","C2"
"E10.5_XY_20140428_C69_140729_8","C2"
"E10.5_XY_20140428_C70_140729_8","C2"
"E10.5_XY_20140428_C72_140729_1","C2"
"E10.5_XY_20140428_C73_140729_1","C2"
"E10.5_XY_20140428_C75_140729_1","C2"
"E10.5_XY_20140428_C76_140729_2","C2"
"E10.5_XY_20140428_C77_140729_2","C2"
"E10.5_XY_20140428_C78_140729_2","C2"
"E10.5_XY_20140428_C79_140729_3","C2"
"E10.5_XY_20140428_C81_140729_3","C2"
"E10.5_XY_20140428_C82_140729_4","C2"
"E10.5_XY_20140428_C85_140729_5","C2"
"E10.5_XY_20140428_C88_140729_7","C2"
"E10.5_XY_20140428_C89_140729_6","C2"
"E10.5_XY_20140428_C90_140729_6","C2"
"E10.5_XY_20140428_C93_140729_7","C2"
"E10.5_XY_20140428_C94_140729_8","C2"
"E10.5_XY_20140428_C95_140729_8","C2"
"E11.5_XY_20141103_C03_150331_1","C4"
"E11.5_XY_20141103_C05_150331_1","C2"
"E11.5_XY_20141103_C07_150331_3","C2"
"E11.5_XY_20141103_C08_150331_3","C2"
"E11.5_XY_20141103_C11_150331_4","C2"
"E11.5_XY_20141103_C12_150331_4","C2"
"E11.5_XY_20141103_C14_150331_6","C2"
"E11.5_XY_20141103_C15_150331_6","C2"
"E11.5_XY_20141103_C16_150331_7","C4"
"E11.5_XY_20141103_C17_150331_7","C2"
"E11.5_XY_20141103_C18_150331_6","C2"
"E11.5_XY_20141103_C21_150331_8","C2"
"E11.5_XY_20141103_C22_150331_8","C2"
"E11.5_XY_20141103_C24_150331_8","C2"
"E11.5_XY_20141103_C25_150331_1","C2"
"E11.5_XY_20141103_C27_150331_1","C2"
"E11.5_XY_20141103_C28_150331_2","C2"
"E11.5_XY_20141103_C29_150331_3","C2"
"E11.5_XY_20141103_C30_150331_3","C2"
"E11.5_XY_20141103_C32_150331_3","C2"
"E11.5_XY_20141103_C33_150331_4","C2"
"E11.5_XY_20141103_C35_150331_5","C2"
"E11.5_XY_20141103_C39_150331_6","C2"
"E11.5_XY_20141103_C40_150331_7","C4"
"E11.5_XY_20141103_C41_150331_7","C2"
"E11.5_XY_20141103_C42_150331_7","C2"
"E11.5_XY_20141103_C47_150331_8","C2"
"E11.5_XY_20141103_C48_150331_8","C2"
"E11.5_XY_20141103_C49_150331_1","C2"
"E11.5_XY_20141103_C50_150331_1","C2"
"E11.5_XY_20141103_C52_150331_1","C2"
"E11.5_XY_20141103_C53_150331_2","C4"
"E11.5_XY_20141103_C54_150331_2","C2"
"E11.5_XY_20141103_C57_150331_4","C2"
"E11.5_XY_20141103_C58_150331_4","C4"
"E11.5_XY_20141103_C61_150331_6","C4"
"E11.5_XY_20141103_C62_150331_6","C2"
"E11.5_XY_20141103_C65_150331_8","C2"
"E11.5_XY_20141103_C70_150331_1","C2"
"E11.5_XY_20141103_C73_150331_2","C2"
"E11.5_XY_20141103_C75_150331_1","C4"
"E11.5_XY_20141103_C76_150331_3","C2"
"E11.5_XY_20141103_C77_150331_3","C2"
"E11.5_XY_20141103_C79_150331_5","C2"
"E11.5_XY_20141103_C80_150331_5","C2"
"E11.5_XY_20141103_C81_150331_5","C2"
"E11.5_XY_20141103_C82_150331_6","C2"
"E11.5_XY_20141103_C84_150331_5","C4"
"E11.5_XY_20141103_C87_150331_6","C2"
"E11.5_XY_20141103_C88_150331_8","C4"
"E11.5_XY_20141103_C89_150331_8","C4"
"E11.5_XY_20141103_C95_150331_8","C2"
"E11.5_XY_20150107_C03_150331_2","C2"
"E11.5_XY_20150107_C11_150331_1","C2"
"E11.5_XY_20150107_C18_150331_5","C2"
"E11.5_XY_20150107_C24_150331_7","C4"
"E11.5_XY_20150107_C25_150331_6","C4"
"E11.5_XY_20150107_C28_150331_2","C4"
"E11.5_XY_20150107_C30_150331_2","C4"
"E11.5_XY_20150107_C36_150331_2","C2"
"E11.5_XY_20150107_C37_150331_6","C4"
"E11.5_XY_20150107_C40_150331_7","C2"
"E11.5_XY_20150107_C41_150331_5","C4"
"E11.5_XY_20150107_C43_150331_7","C2"
"E11.5_XY_20150107_C46_150331_7","C2"
"E11.5_XY_20150107_C47_150331_8","C4"
"E11.5_XY_20150107_C48_150331_8","C2"
"E11.5_XY_20150107_C51_150331_2","C4"
"E11.5_XY_20150107_C52_150331_3","C2"
"E11.5_XY_20150107_C53_150331_3","C4"
"E11.5_XY_20150107_C54_150331_1","C2"
"E11.5_XY_20150107_C58_150331_5","C2"
"E11.5_XY_20150107_C64_150331_5","C2"
"E11.5_XY_20150107_C65_150331_5","C4"
"E11.5_XY_20150107_C66_150331_3","C2"
"E11.5_XY_20150107_C67_150331_3","C2"
"E11.5_XY_20150107_C68_150331_7","C4"
"E11.5_XY_20150107_C69_150331_7","C2"
"E11.5_XY_20150107_C71_150331_8","C4"
"E11.5_XY_20150107_C72_150331_5","C2"
"E11.5_XY_20150107_C73_150331_2","C2"
"E11.5_XY_20150107_C75_150331_1","C2"
"E11.5_XY_20150107_C76_150331_4","C2"
"E11.5_XY_20150107_C77_150331_8","C4"
"E11.5_XY_20150107_C78_150331_8","C2"
"E11.5_XY_20150107_C79_150331_4","C4"
"E11.5_XY_20150107_C80_150331_4","C2"
"E11.5_XY_20150107_C84_150331_2","C1"
"E11.5_XY_20150107_C86_150331_7","C2"
"E11.5_XY_20150107_C87_150331_6","C4"
"E11.5_XY_20150107_C90_150331_5","C2"
"E11.5_XY_20150107_C93_150331_7","C2"
"E11.5_XY_20150107_C96_150331_8","C2"
"E12.5_XY_20140526_C01_150331_1","C2"
"E12.5_XY_20140526_C08_150331_1","C4"
"E12.5_XY_20140526_C22_150331_4","C2"
"E12.5_XY_20140526_C28_150331_6","C2"
"E12.5_XY_20140526_C32_150331_8","C2"
"E12.5_XY_20140526_C35_150331_1","C2"
"E12.5_XY_20140526_C38_150331_1","C2"
"E12.5_XY_20140526_C40_150331_3","C2"
"E12.5_XY_20140526_C42_150331_3","C4"
"E12.5_XY_20140526_C43_150331_5","C3"
"E12.5_XY_20140526_C45_150331_5","C2"
"E12.5_XY_20140526_C47_150331_8","C2"
"E12.5_XY_20140526_C48_150331_7","C2"
"E12.5_XY_20140526_C58_150331_1","C4"
"E12.5_XY_20140526_C62_150331_2","C2"
"E12.5_XY_20140526_C68_150331_2","C2"
"E12.5_XY_20140526_C69_150331_3","C2"
"E12.5_XY_20140526_C70_150331_4","C6"
"E12.5_XY_20140526_C71_150331_4","C2"
"E12.5_XY_20140526_C72_150331_4","C2"
"E12.5_XY_20140526_C74_150331_6","C2"
"E12.5_XY_20140526_C75_150331_6","C2"
"E12.5_XY_20140526_C76_150331_6","C2"
"E12.5_XY_20140526_C80_150331_8","C6"
