gene,profile
Acsl3,P1
Anln,P1
Arhgap11a,P1
Arhgef39,P1
Arl6ip1,P1
Atm,P1
Aurka,P1
Aurkb,P1
BC030867,P1
Birc5,P1
Brip1,P1
Btbd3,P1
Bub1,P1
Bub1b,P1
C330027C09Rik,P1
Casc5,P1
Ccna2,P1
Ccnb1,P1
Ccnb2,P1
Ccnf,P1
Cdc20,P1
Cdc25c,P1
Cdc6,P1
Cdca2,P1
Cdca3,P1
Cdca4,P1
Cdca8,P1
Cdk1,P1
Cenpe,P1
Cenpf,P1
Cenph,P1
Cenpl,P1
Cenpq,P1
Cep104,P1
Cep55,P1
Chaf1a,P1
Chsy1,P1
Ckap2,P1
Ckap2l,P1
Ckap5,P1
Cks2,P1
Dbf4,P1
Dcaf13,P1
Dclk2,P1
Dhrs1,P1
Ect2,P1
Efcab11,P1
Elovl5,P1
Ercc6l,P1
Espl1,P1
Exosc1,P1
Fam111a,P1
Fam122b,P1
Fancd2,P1
Fancg,P1
Fancm,P1
Fbxo5,P1
Fbxw17,P1
Fen1,P1
Fignl1,P1
Foxm1,P1
Gas2l3,P1
Gdpgp1,P1
Gm10184,P1
Gm16286,P1
Golph3,P1
Gtf2b,P1
Gtse1,P1
Hmgb1,P1
Hmgb2,P1
Hmmr,P1
Hs1bp3,P1
Kif11,P1
Kif15,P1
Kif20a,P1
Kif20b,P1
Kif22,P1
Kif23,P1
Kif2c,P1
Kif4,P1
Knstrn,P1
Krr1,P1
Lbr,P1
Mad2l1,P1
Mcm5,P1
Mex3c,P1
Mgme1,P1
Mki67,P1
Natd1,P1
Ncapg,P1
Ncapg2,P1
Ncaph,P1
Ndc1,P1
Neil3,P1
Nifk,P1
Nsmce1,P1
Nuf2,P1
Nup107,P1
Nup37,P1
Nusap1,P1
Papd7,P1
Parpbp,P1
Pbk,P1
Pcx,P1
Plk1,P1
Poc1a,P1
Prc1,P1
Psmc3ip,P1
Ptges3,P1
Rad51,P1
Rad51ap1,P1
Raph1,P1
Rassf4,P1
Rbm12,P1
Rbm45,P1
Rnf219,P1
Rps6ka1,P1
Rrm2,P1
Scyl3,P1
Shcbp1,P1
Smc2,P1
Smc4,P1
Snrnp40,P1
Spag5,P1
Spc25,P1
Spdl1,P1
Srsf2,P1
Stard7,P1
Stil,P1
Tacc3,P1
Tcaim,P1
Tex30,P1
Tipin,P1
Tmem65,P1
Tmem97,P1
Top2a,P1
Tpx2,P1
Trim59,P1
Trnt1,P1
Ttk,P1
Tuba1b,P1
Tuba1c,P1
Tubb4b,P1
Tyms,P1
Ube2c,P1
Uhrf1,P1
Usp1,P1
A430033K04Rik,P2
Abcf2,P2
Abcg2,P2
