"","status","family","pval","qval","genes","num_cells_expressed"
"a","OK","negbinomial.size",0.994359604850665,0.999998135217801,"a",17
"A130010J15Rik","OK","negbinomial.size",0.0943079715291915,0.279559915603138,"A130010J15Rik",52
"A130051J06Rik","OK","negbinomial.size",0.961498415635541,0.999998135217801,"A130051J06Rik",88
"A130057D12Rik","OK","negbinomial.size",0.996278413915571,0.999998135217801,"A130057D12Rik",52
"A230046K03Rik","OK","negbinomial.size",0.395131679163104,0.687445282470775,"A230046K03Rik",155
"A230065H16Rik","OK","negbinomial.size",0.289705811520109,0.572287709642182,"A230065H16Rik",11
"A430005L14Rik","OK","negbinomial.size",0.976808790170806,0.999998135217801,"A430005L14Rik",135
"A430033K04Rik","OK","negbinomial.size",0.899714900060946,0.986712196362102,"A430033K04Rik",25
"A530054K11Rik","OK","negbinomial.size",0.491631615374616,0.76946210110423,"A530054K11Rik",50
"A630001G21Rik","OK","negbinomial.size",0.000650985806914077,0.00511701172427569,"A630001G21Rik",19
"A730015C16Rik","OK","negbinomial.size",0.658849318889411,0.882100143540758,"A730015C16Rik",41
"A730017C20Rik","OK","negbinomial.size",0.00493934947588596,0.0288088873109515,"A730017C20Rik",24
"A730049H05Rik","OK","negbinomial.size",0.000545559772350904,0.0044061630407697,"A730049H05Rik",112
"A730071L15Rik","OK","negbinomial.size",0.972045766719942,0.999998135217801,"A730071L15Rik",122
"A830010M20Rik","OK","negbinomial.size",0.338952367935914,0.62701504968188,"A830010M20Rik",107
"A830080D01Rik","OK","negbinomial.size",0.27838604873616,0.557697736869614,"A830080D01Rik",97
"A930004D18Rik","OK","negbinomial.size",0.749270060332763,0.927609965789926,"A930004D18Rik",35
"A930033H14Rik","OK","negbinomial.size",0.825136023927643,0.965610283415373,"A930033H14Rik",22
"AA474331","OK","negbinomial.size",0.341715924871253,0.630095928798562,"AA474331",38
"AA474408","OK","negbinomial.size",0.593887144475455,0.842475968536383,"AA474408",19
"AA987161","OK","negbinomial.size",0.834133450001265,0.969361372602492,"AA987161",50
"Aaas","OK","negbinomial.size",0.044411839756053,0.163569400208215,"Aaas",108
"Aacs","OK","negbinomial.size",0.120601240599161,0.329160803900314,"Aacs",63
"Aaed1","OK","negbinomial.size",0.602696769429201,0.847729201776803,"Aaed1",70
"Aagab","OK","negbinomial.size",0.0315581227972992,0.12606363015512,"Aagab",114
"Aak1","OK","negbinomial.size",0.964110596089978,0.999998135217801,"Aak1",72
"Aamdc","OK","negbinomial.size",0.214244468384151,0.47689007656104,"Aamdc",112
"Aamp","OK","negbinomial.size",0.956627518766234,0.999998135217801,"Aamp",207
"Aar2","OK","negbinomial.size",0.15946963727966,0.395067666369223,"Aar2",103
"Aard","OK","negbinomial.size",3.52552280800737e-86,1.84706738419517e-83,"Aard",90
"Aars","OK","negbinomial.size",0.170027430462728,0.41181243792205,"Aars",135
"Aars2","OK","negbinomial.size",0.184401321626429,0.434500572076352,"Aars2",30
"Aarsd1","OK","negbinomial.size",0.339574513208895,0.627598443080552,"Aarsd1",136
"Aasdh","OK","negbinomial.size",0.592706403498333,0.84187044592531,"Aasdh",51
"Aasdhppt","OK","negbinomial.size",0.0181379283437373,0.0824451288351693,"Aasdhppt",166
"Aass","OK","negbinomial.size",0.0262064053886393,0.109762664210324,"Aass",25
"Aatf","OK","negbinomial.size",0.196246600954032,0.452068732841919,"Aatf",69
"Abat","OK","negbinomial.size",2.8503700381054e-06,3.961586961842e-05,"Abat",146
"Abca1","OK","negbinomial.size",1.4271880827662e-08,2.83321522196584e-07,"Abca1",71
"Abca2","OK","negbinomial.size",0.000748921627931156,0.00575383655843729,"Abca2",50
"Abca3","OK","negbinomial.size",0.721176723760756,0.91399847066418,"Abca3",50
"Abca4","OK","negbinomial.size",0.799439851393134,0.954259555154756,"Abca4",10
"Abca5","OK","negbinomial.size",0.349666929814006,0.638472867289384,"Abca5",72
"Abca6","OK","negbinomial.size",0.207316637818687,0.467383626887778,"Abca6",10
"Abca7","OK","negbinomial.size",0.94734167210587,0.999998135217801,"Abca7",12
"Abca8b","OK","negbinomial.size",0.632047279761014,0.865965858001162,"Abca8b",25
"Abcb10","OK","negbinomial.size",0.00113262579732663,0.00828666718748386,"Abcb10",69
"Abcb6","OK","negbinomial.size",0.87504661119069,0.979576772872819,"Abcb6",30
"Abcb7","OK","negbinomial.size",0.0418432008958727,0.15658713378735,"Abcb7",49
"Abcb8","OK","negbinomial.size",0.256753198329294,0.530895583892991,"Abcb8",107
"Abcc1","OK","negbinomial.size",0.00428949708259047,0.0256147169463568,"Abcc1",82
"Abcc10","OK","negbinomial.size",0.605338760408723,0.849074214016502,"Abcc10",25
"Abcc5","OK","negbinomial.size",0.00861832223408582,0.0456086003165279,"Abcc5",171
"Abcd1","OK","negbinomial.size",0.322524536805298,0.609156844593078,"Abcd1",23
"Abcd2","OK","negbinomial.size",0.405644537024706,0.697690075813262,"Abcd2",14
"Abcd3","OK","negbinomial.size",0.0263372084593666,0.110272189692623,"Abcd3",139
"Abcd4","OK","negbinomial.size",0.259450284026067,0.533821705141596,"Abcd4",37
"Abce1","OK","negbinomial.size",0.0292901626890109,0.11935845742586,"Abce1",172
"Abcf1","OK","negbinomial.size",0.830428988575688,0.967681059336478,"Abcf1",201
"Abcf2","OK","negbinomial.size",0.0211425239915297,0.0928452675284014,"Abcf2",144
"Abcf3","OK","negbinomial.size",0.0742940559295082,0.237213400622833,"Abcf3",114
"Abcg1","OK","negbinomial.size",2.47383625474712e-30,2.63802892652237e-28,"Abcg1",63
"Abcg2","OK","negbinomial.size",8.02928235356604e-09,1.64266302819136e-07,"Abcg2",145
"Abhd10","OK","negbinomial.size",0.480379790041503,0.760989490941315,"Abhd10",93
"Abhd11","OK","negbinomial.size",0.776116254263712,0.94219230947791,"Abhd11",106
"Abhd12","OK","negbinomial.size",0.332358453565972,0.619432347119065,"Abhd12",55
"Abhd13","OK","negbinomial.size",0.984386614946139,0.999998135217801,"Abhd13",59
"Abhd14a","OK","negbinomial.size",0.416456200237875,0.706142952639509,"Abhd14a",85
"Abhd15","OK","negbinomial.size",0.924162832851826,0.995366654975376,"Abhd15",52
"Abhd16a","OK","negbinomial.size",0.681749868692555,0.895016351623359,"Abhd16a",64
"Abhd17a","OK","negbinomial.size",0.269984025518944,0.54622355733769,"Abhd17a",75
"Abhd17b","OK","negbinomial.size",0.904035674557818,0.988532656844075,"Abhd17b",85
"Abhd17c","OK","negbinomial.size",0.127056629251057,0.340987167589138,"Abhd17c",131
"Abhd2","OK","negbinomial.size",0.535050285551833,0.799424171221276,"Abhd2",180
"Abhd3","OK","negbinomial.size",0.00181347852133793,0.012437345578897,"Abhd3",55
"Abhd4","OK","negbinomial.size",0.000694284419637777,0.00540098596296656,"Abhd4",150
"Abhd5","OK","negbinomial.size",0.971382668155276,0.999998135217801,"Abhd5",57
"Abhd6","OK","negbinomial.size",0.0426558998293078,0.15908734005893,"Abhd6",83
"Abhd8","OK","negbinomial.size",0.509527815994763,0.783238956848692,"Abhd8",33
"Abi1","OK","negbinomial.size",0.489477885935509,0.767959521567665,"Abi1",134
"Abi2","OK","negbinomial.size",4.33595964049442e-05,0.000474803801724099,"Abi2",183
"Abi3bp","OK","negbinomial.size",0.00205896941198785,0.0138839291630966,"Abi3bp",33
"Abl1","OK","negbinomial.size",0.000219605881111698,0.00198221038756252,"Abl1",147
"Abl2","OK","negbinomial.size",0.0260836657414141,0.109324581629231,"Abl2",92
"Ablim1","OK","negbinomial.size",0.429270664863535,0.718322938157797,"Ablim1",81
"Abr","OK","negbinomial.size",0.0244521917297637,0.104042694330386,"Abr",109
"Abracl","OK","negbinomial.size",0.522399246305756,0.791499283626323,"Abracl",179
"Abt1","OK","negbinomial.size",0.683406033623171,0.895550322716352,"Abt1",100
"Abtb1","OK","negbinomial.size",0.0812459553936467,0.251933546704437,"Abtb1",40
"Abtb2","OK","negbinomial.size",1.98842164326302e-10,5.20880017419986e-09,"Abtb2",66
"AC123072.1","OK","negbinomial.size",1.08603721678746e-19,6.64301952400453e-18,"AC123072.1",159
"Acaa1a","OK","negbinomial.size",0.0217004869404484,0.0947417675422007,"Acaa1a",108
"Acaa2","OK","negbinomial.size",1.84984081593684e-13,6.6938684180297e-12,"Acaa2",187
"Acaca","OK","negbinomial.size",0.0975156198018362,0.28555606770647,"Acaca",122
"Acad10","OK","negbinomial.size",0.094692576297761,0.280493005011804,"Acad10",15
"Acad11","OK","negbinomial.size",0.692653267555794,0.899695146496423,"Acad11",42
"Acad12","OK","negbinomial.size",0.973045518758127,0.999998135217801,"Acad12",13
"Acad8","OK","negbinomial.size",0.729227963850035,0.916836078234347,"Acad8",81
"Acad9","OK","negbinomial.size",0.0410176142441266,0.154312825933411,"Acad9",123
"Acadl","OK","negbinomial.size",0.00398307366332894,0.0241671891455759,"Acadl",152
"Acadm","OK","negbinomial.size",0.00398856872423721,0.0241883508440153,"Acadm",158
"Acads","OK","negbinomial.size",0.132415398298064,0.350067035869167,"Acads",39
"Acadsb","OK","negbinomial.size",0.188228439193988,0.44016159369058,"Acadsb",150
"Acadvl","OK","negbinomial.size",0.117668160545292,0.323928140981277,"Acadvl",99
"Acap1","OK","negbinomial.size",0.0158873296963534,0.0743754167991682,"Acap1",10
"Acap2","OK","negbinomial.size",0.889305421961618,0.983028178779842,"Acap2",109
"Acap3","OK","negbinomial.size",0.6154806389376,0.855192620256283,"Acap3",20
"Acat1","OK","negbinomial.size",0.000215934280990327,0.00195139630361982,"Acat1",187
"Acat2","OK","negbinomial.size",0.195867046366645,0.451453310772393,"Acat2",184
"Acat3","OK","negbinomial.size",0.569549918410038,0.827233575012313,"Acat3",219
"Acbd3","OK","negbinomial.size",0.022607345237782,0.0977110868419201,"Acbd3",111
"Acbd4","OK","negbinomial.size",0.626329199842835,0.86208790268302,"Acbd4",18
"Acbd5","OK","negbinomial.size",0.0771653918966123,0.24347812839858,"Acbd5",94
"Acbd6","OK","negbinomial.size",0.45136926050724,0.73899450939025,"Acbd6",103
"Accs","OK","negbinomial.size",0.0685567123157543,0.223272536055362,"Accs",49
"Acd","OK","negbinomial.size",0.957643154424726,0.999998135217801,"Acd",132
"Ace2","OK","negbinomial.size",0.157666153162642,0.392293443239693,"Ace2",14
"Acer2","OK","negbinomial.size",0.567936606213888,0.825329969232676,"Acer2",31
"Acer3","OK","negbinomial.size",0.578378423367888,0.831975647795518,"Acer3",57
"Acin1","OK","negbinomial.size",0.435911372783033,0.72431495339707,"Acin1",221
"Ackr3","OK","negbinomial.size",0.00665936274399374,0.0369453596064109,"Ackr3",32
"Ackr4","OK","negbinomial.size",0.976772032481258,0.999998135217801,"Ackr4",33
"Acly","OK","negbinomial.size",0.133288859367052,0.351439478843047,"Acly",171
"Acmsd","OK","negbinomial.size",0.989135903808448,0.999998135217801,"Acmsd",11
"Acn9","OK","negbinomial.size",0.24172343506776,0.512991791575645,"Acn9",110
"Aco1","OK","negbinomial.size",0.410211189583388,0.700444764492571,"Aco1",114
"Aco2","OK","negbinomial.size",0.823409899056537,0.964850973168327,"Aco2",168
"Acot1","OK","negbinomial.size",0.02811881258689,0.115698166782523,"Acot1",103
"Acot10","OK","negbinomial.size",0.956862495277344,0.999998135217801,"Acot10",41
"Acot11","OK","negbinomial.size",0.185934534273256,0.436865904684905,"Acot11",26
"Acot13","OK","negbinomial.size",0.624367851800193,0.860827530227955,"Acot13",139
"Acot2","OK","negbinomial.size",0.185444406067409,0.436089331403764,"Acot2",201
"Acot7","OK","negbinomial.size",0.00941402601514281,0.0491716573396059,"Acot7",75
"Acot8","OK","negbinomial.size",0.795263590055761,0.951347787170845,"Acot8",46
"Acot9","OK","negbinomial.size",0.000680794644051669,0.00530632306650881,"Acot9",55
"Acox1","OK","negbinomial.size",0.00378062876846765,0.0231722160020525,"Acox1",121
"Acox3","OK","negbinomial.size",0.209285202992168,0.469795185227133,"Acox3",23
"Acoxl","OK","negbinomial.size",0.822005974451084,0.964064056421787,"Acoxl",11
"Acp1","OK","negbinomial.size",0.36185879501276,0.652266040374533,"Acp1",196
"Acp2","OK","negbinomial.size",0.0146887690457831,0.0699050817542207,"Acp2",153
"Acp5","OK","negbinomial.size",0.402803603929234,0.695210635857921,"Acp5",30
"Acp6","OK","negbinomial.size",0.154992302896505,0.388044307064801,"Acp6",51
"Acpt","OK","negbinomial.size",0.989615269146481,0.999998135217801,"Acpt",111
"Acrbp","OK","negbinomial.size",0.967402728002141,0.999998135217801,"Acrbp",22
"Acsbg1","OK","negbinomial.size",2.96062846769092e-47,6.37063804208492e-45,"Acsbg1",76
"Acsf2","OK","negbinomial.size",0.994305750638986,0.999998135217801,"Acsf2",42
"Acsf3","OK","negbinomial.size",0.957885133121138,0.999998135217801,"Acsf3",25
"Acsl1","OK","negbinomial.size",0.231440406490082,0.500339439558843,"Acsl1",33
"Acsl3","OK","negbinomial.size",0.00260914385943101,0.0169033244656686,"Acsl3",95
"Acsl4","OK","negbinomial.size",0.000512217959385641,0.00418456027837083,"Acsl4",159
"Acsl5","OK","negbinomial.size",0.886643998869163,0.982051640584836,"Acsl5",25
"Acsm3","OK","negbinomial.size",6.85368611200137e-05,0.000707685669662523,"Acsm3",63
"Acss1","OK","negbinomial.size",1.85278881054424e-06,2.66103756460764e-05,"Acss1",35
"Acss2","OK","negbinomial.size",0.0738228370565962,0.236146850685422,"Acss2",61
"Acta2","OK","negbinomial.size",1.64546734511885e-11,4.80578849060647e-10,"Acta2",42
"Actb","OK","negbinomial.size",4.85184112821776e-08,8.85828569621575e-07,"Actb",230
"Actg1","OK","negbinomial.size",0.313453547247156,0.599071638464435,"Actg1",229
"Actl6a","OK","negbinomial.size",0.00389131639481327,0.0236820012916666,"Actl6a",185
"Actn1","OK","negbinomial.size",0.525513337619441,0.792975773912621,"Actn1",199
"Actn2","OK","negbinomial.size",0.808080605164398,0.957366167754497,"Actn2",11
"Actn4","OK","negbinomial.size",0.512553791168875,0.785367491786201,"Actn4",217
"Actr10","OK","negbinomial.size",0.519561618181833,0.789956418504225,"Actr10",184
"Actr1a","OK","negbinomial.size",0.546812309192958,0.808124516686014,"Actr1a",137
